"No.","Time","Source","Destination","Protocol","Length","Info"
"389","40.070060","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4863 Ack=68537 Win=131008 Len=0 TSval=596222873 TSecr=270165497"
"390","40.070959","216.58.194.164","192.168.11.20","TLSv1.2","112","Application Data"
"391","40.071011","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4863 Ack=68583 Win=131008 Len=0 TSval=596222874 TSecr=270165497"
"392","40.071442","192.168.11.20","216.58.194.164","TLSv1.2","112","Application Data"
"393","40.115487","216.58.194.164","192.168.11.20","TLSv1.2","695","Application Data"
"394","40.115553","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=69212 Win=130432 Len=0 TSval=596222918 TSecr=270165543"
"395","40.115681","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"396","40.115732","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=70630 Win=129632 Len=0 TSval=596222918 TSecr=270165543"
"397","40.115936","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"398","40.115940","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"399","40.115984","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=72048 Win=131072 Len=0 TSval=596222918 TSecr=270165543"
"400","40.116045","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"401","40.116071","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=74884 Win=129632 Len=0 TSval=596222918 TSecr=270165543"
"402","40.116323","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"403","40.116327","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"404","40.116329","216.58.194.164","192.168.11.20","TLSv1.2","522","Application Data"
"405","40.116330","216.58.194.164","192.168.11.20","TLSv1.2","135","Application Data"
"406","40.116408","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=77720 Win=128224 Len=0 TSval=596222918 TSecr=270165543"
"407","40.116408","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=78176 Win=127776 Len=0 TSval=596222918 TSecr=270165543"
"408","40.116408","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=78245 Win=127680 Len=0 TSval=596222918 TSecr=270165543"
"409","40.116826","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=4909 Ack=78245 Win=131072 Len=0 TSval=596222919 TSecr=270165543"
"410","40.117816","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"411","40.117856","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=79663 Win=129632 Len=0 TSval=596222920 TSecr=270165545"
"412","40.118178","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"413","40.118346","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=81081 Win=131072 Len=0 TSval=596222920 TSecr=270165545"
"414","40.118693","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"415","40.118696","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"416","40.118730","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=82499 Win=129632 Len=0 TSval=596222920 TSecr=270165545"
"417","40.118782","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"418","40.118787","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=83917 Win=131072 Len=0 TSval=596222920 TSecr=270165545"
"419","40.119013","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"420","40.119018","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"421","40.119052","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=86753 Win=129632 Len=0 TSval=596222921 TSecr=270165545"
"422","40.119116","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"423","40.119132","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=88171 Win=131072 Len=0 TSval=596222921 TSecr=270165545"
"424","40.119141","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=89589 Win=129632 Len=0 TSval=596222921 TSecr=270165545"
"425","40.119306","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"426","40.119366","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=91007 Win=131072 Len=0 TSval=596222921 TSecr=270165545"
"427","40.120459","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"428","40.120767","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"429","40.120810","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=93843 Win=129632 Len=0 TSval=596222922 TSecr=270165545"
"430","40.121357","216.58.194.164","192.168.11.20","TLSv1.2","1203","Application Data"
"431","40.121384","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=94980 Win=129920 Len=0 TSval=596222922 TSecr=270165545"
"432","40.121917","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"433","40.121921","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"434","40.121947","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=96398 Win=129632 Len=0 TSval=596222923 TSecr=270165546"
"435","40.122003","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"436","40.122013","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=97816 Win=131072 Len=0 TSval=596222923 TSecr=270165546"
"437","40.122032","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=99234 Win=129632 Len=0 TSval=596222923 TSecr=270165546"
"438","40.122131","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"439","40.122184","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=100652 Win=131072 Len=0 TSval=596222923 TSecr=270165546"
"440","40.122225","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"441","40.122370","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"442","40.122373","216.58.194.164","192.168.11.20","TLSv1.2","113","Application Data"
"443","40.122408","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=103488 Win=129632 Len=0 TSval=596222923 TSecr=270165546"
"444","40.122408","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=103535 Win=129600 Len=0 TSval=596222923 TSecr=270165546"
"445","40.343443","Buffalo_75:d5:82","Broadcast","ARP","42","Who has 192.168.11.129? Tell 192.168.11.1"
"446","40.548749","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"447","40.548804","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=104953 Win=129632 Len=0 TSval=596223348 TSecr=270165893"
"448","40.548991","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"449","40.549021","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=106371 Win=129632 Len=0 TSval=596223348 TSecr=270165893"
"450","40.549286","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"451","40.549289","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"452","40.549321","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"453","40.549328","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=109207 Win=128224 Len=0 TSval=596223348 TSecr=270165893"
"454","40.549328","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=4909 Ack=109207 Win=131072 Len=0 TSval=596223348 TSecr=270165893"
"455","40.549338","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=110625 Win=129632 Len=0 TSval=596223348 TSecr=270165893"
"456","40.549593","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"457","40.549597","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"458","40.549620","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=113461 Win=128224 Len=0 TSval=596223348 TSecr=270165893"
"459","40.549651","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=4909 Ack=113461 Win=131072 Len=0 TSval=596223348 TSecr=270165893"
"460","40.549708","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"461","40.549873","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"462","40.549879","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"463","40.549905","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=116297 Win=129632 Len=0 TSval=596223349 TSecr=270165893"
"464","40.549905","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=117715 Win=128224 Len=0 TSval=596223349 TSecr=270165893"
"465","40.549983","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"466","40.549991","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=4909 Ack=117715 Win=131072 Len=0 TSval=596223349 TSecr=270165893"
"467","40.550627","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"468","40.550655","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=120551 Win=129632 Len=0 TSval=596223349 TSecr=270165893"
"469","40.550875","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"470","40.550918","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=121969 Win=131072 Len=0 TSval=596223350 TSecr=270165893"
"471","40.551121","216.58.194.164","192.168.11.20","TLSv1.2","943","Application Data, Application Data"
"472","40.551124","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"473","40.551154","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=122846 Win=130176 Len=0 TSval=596223350 TSecr=270165893"
"474","40.551154","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=124264 Win=128768 Len=0 TSval=596223350 TSecr=270165900"
"475","40.551212","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"476","40.551249","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=125682 Win=131072 Len=0 TSval=596223350 TSecr=270165900"
"477","40.551445","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"478","40.551449","216.58.194.164","192.168.11.20","TLSv1.2","1455","Application Data"
"479","40.551475","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=127100 Win=129632 Len=0 TSval=596223350 TSecr=270165900"
"480","40.551475","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=128489 Win=128256 Len=0 TSval=596223350 TSecr=270165900"
"481","40.551505","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=4909 Ack=128489 Win=131072 Len=0 TSval=596223350 TSecr=270165900"
"482","40.557076","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"483","40.557080","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"484","40.557081","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"485","40.557082","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"486","40.557083","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"487","40.557088","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"488","40.557089","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"489","40.557090","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"490","40.557091","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"491","40.557092","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"492","40.557093","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"493","40.557094","216.58.194.164","192.168.11.20","TLSv1.2","1062","Application Data"
"494","40.557095","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"495","40.557096","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"496","40.557096","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"497","40.557098","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"498","40.557099","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"499","40.557099","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"500","40.557100","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"501","40.557101","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"502","40.557103","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"503","40.557103","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"504","40.557104","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"505","40.557162","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=129907 Win=129632 Len=0 TSval=596223356 TSecr=270165916"
"506","40.557162","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=132743 Win=126816 Len=0 TSval=596223356 TSecr=270165916"
"507","40.557163","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=135579 Win=123968 Len=0 TSval=596223356 TSecr=270165916"
"508","40.557178","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=138415 Win=121120 Len=0 TSval=596223356 TSecr=270165916"
"509","40.557178","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=139833 Win=119712 Len=0 TSval=596223356 TSecr=270165916"
"510","40.557178","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=142669 Win=116864 Len=0 TSval=596223356 TSecr=270165916"
"511","40.557178","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=145083 Win=114464 Len=0 TSval=596223356 TSecr=270165916"
"512","40.557179","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=146501 Win=113056 Len=0 TSval=596223356 TSecr=270165918"
"513","40.557191","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=149337 Win=126816 Len=0 TSval=596223356 TSecr=270165920"
"514","40.557191","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=152173 Win=123968 Len=0 TSval=596223356 TSecr=270165920"
"515","40.557191","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=155009 Win=121952 Len=0 TSval=596223356 TSecr=270165920"
"516","40.557201","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=157845 Win=119104 Len=0 TSval=596223356 TSecr=270165920"
"517","40.557201","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=160681 Win=116288 Len=0 TSval=596223356 TSecr=270165920"
"518","40.557277","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=4909 Ack=160681 Win=131072 Len=0 TSval=596223356 TSecr=270165920"
"519","40.560239","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"520","40.561078","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"521","40.561117","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=163517 Win=129632 Len=0 TSval=596223359 TSecr=270165987"
"522","40.561261","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"523","40.561346","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=164935 Win=131072 Len=0 TSval=596223360 TSecr=270165988"
"524","40.561802","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"525","40.562013","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"526","40.562016","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"527","40.562050","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=167771 Win=129632 Len=0 TSval=596223360 TSecr=270165988"
"528","40.562072","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=169189 Win=131072 Len=0 TSval=596223360 TSecr=270165988"
"529","40.562107","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"530","40.562212","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"531","40.562236","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=172025 Win=129632 Len=0 TSval=596223360 TSecr=270165988"
"532","40.562318","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"533","40.562354","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=173443 Win=131072 Len=0 TSval=596223361 TSecr=270165988"
"534","40.562424","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"535","40.562540","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"536","40.562567","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=176279 Win=129632 Len=0 TSval=596223361 TSecr=270165988"
"537","40.562667","216.58.194.164","192.168.11.20","TLSv1.2","832","Application Data, Application Data, Application Data"
"538","40.562691","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=4909 Ack=177045 Win=130304 Len=0 TSval=596223361 TSecr=270165988"
"539","40.562808","192.168.11.20","216.58.194.164","TLSv1.2","112","Application Data"
"540","40.606698","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=177045 Ack=4955 Win=71424 Len=0 TSval=270165995 TSecr=596223361"
"541","40.739349","192.168.11.20","173.194.203.188","TCP","54","63734  >  443 [ACK] Seq=1 Ack=1 Win=4096 Len=0"
"542","40.763798","173.194.203.188","192.168.11.20","TCP","66","[TCP ACKed unseen segment] 443  >  63734 [ACK] Seq=1 Ack=2 Win=179 Len=0 TSval=3802813176 TSecr=595096609"
"543","41.064572","192.168.11.20","216.58.194.164","TLSv1.2","691","Application Data"
"544","41.094347","216.58.194.164","192.168.11.20","TCP","66","443  >  63837 [ACK] Seq=177045 Ack=5580 Win=73728 Len=0 TSval=270166520 TSecr=596223859"
"545","41.094517","216.58.194.164","192.168.11.20","TLSv1.2","269","Application Data"
"546","41.094572","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=177248 Win=130848 Len=0 TSval=596223888 TSecr=270166521"
"547","41.095441","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"548","41.095448","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"549","41.095542","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=178666 Win=129632 Len=0 TSval=596223889 TSecr=270166521"
"550","41.095604","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=180084 Win=131072 Len=0 TSval=596223889 TSecr=270166521"
"551","41.095860","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"552","41.096412","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"553","41.096416","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"554","41.096446","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"555","41.096476","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=182920 Win=129632 Len=0 TSval=596223889 TSecr=270166521"
"556","41.096476","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=185756 Win=126816 Len=0 TSval=596223889 TSecr=270166521"
"557","41.096735","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"558","41.096739","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"559","41.096765","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"560","41.096784","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=188592 Win=123968 Len=0 TSval=596223890 TSecr=270166521"
"561","41.096784","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=190010 Win=122560 Len=0 TSval=596223890 TSecr=270166521"
"562","41.096915","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"563","41.096995","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"564","41.097036","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=192846 Win=119712 Len=0 TSval=596223890 TSecr=270166521"
"565","41.097150","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"566","41.097257","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"567","41.097307","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=195682 Win=116864 Len=0 TSval=596223890 TSecr=270166521"
"568","41.097498","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"569","41.097503","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"570","41.097520","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=5580 Ack=195682 Win=131072 Len=0 TSval=596223890 TSecr=270166521"
"571","41.097581","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"572","41.097588","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=198518 Win=128224 Len=0 TSval=596223890 TSecr=270166521"
"573","41.097603","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=5580 Ack=198518 Win=131072 Len=0 TSval=596223890 TSecr=270166521"
"574","41.097662","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"575","41.097690","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=201354 Win=129632 Len=0 TSval=596223890 TSecr=270166521"
"576","41.097900","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"577","41.097903","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"578","41.097936","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=204190 Win=126816 Len=0 TSval=596223891 TSecr=270166521"
"579","41.097944","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=5580 Ack=204190 Win=131072 Len=0 TSval=596223891 TSecr=270166521"
"580","41.098234","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"581","41.098237","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"582","41.098264","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=207026 Win=128224 Len=0 TSval=596223891 TSecr=270166521"
"583","41.098369","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"584","41.098380","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=5580 Ack=207026 Win=131072 Len=0 TSval=596223891 TSecr=270166521"
"585","41.098469","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"586","41.098472","216.58.194.164","192.168.11.20","TLSv1.2","934","Application Data"
"587","41.098502","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=209862 Win=129632 Len=0 TSval=596223891 TSecr=270166521"
"588","41.098503","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=210730 Win=128768 Len=0 TSval=596223891 TSecr=270166521"
"589","41.098615","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"590","41.098723","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"591","41.098748","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=213566 Win=128224 Len=0 TSval=596223891 TSecr=270166521"
"592","41.098795","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=5580 Ack=213566 Win=131072 Len=0 TSval=596223891 TSecr=270166521"
"593","41.098834","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"594","41.098939","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"595","41.098959","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=216402 Win=129632 Len=0 TSval=596223892 TSecr=270166521"
"596","41.099046","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"597","41.099070","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=217820 Win=129632 Len=0 TSval=596223892 TSecr=270166521"
"598","41.100982","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"599","41.100985","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"600","41.101031","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=220656 Win=128224 Len=0 TSval=596223894 TSecr=270166521"
"601","41.101083","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"602","41.101089","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=5580 Ack=220656 Win=131072 Len=0 TSval=596223894 TSecr=270166521"
"603","41.101232","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"604","41.101234","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"605","41.101263","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=223492 Win=129632 Len=0 TSval=596223894 TSecr=270166521"
"606","41.101288","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=224910 Win=131072 Len=0 TSval=596223894 TSecr=270166521"
"607","41.101418","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"608","41.101528","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"609","41.101559","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=227746 Win=129632 Len=0 TSval=596223894 TSecr=270166521"
"610","41.101732","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"611","41.101735","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"612","41.101759","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=5580 Ack=230582 Win=128224 Len=0 TSval=596223894 TSecr=270166521"
"613","41.101780","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=5580 Ack=230582 Win=131072 Len=0 TSval=596223894 TSecr=270166521"
