"No.","Time","Source","Destination","Protocol","Length","Info"
"229","38.246396","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"230","38.246714","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"231","38.246716","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data"
"232","38.246740","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"233","38.246773","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=32713 Win=129632 Len=0 TSval=596221079 TSecr=270163672"
"234","38.246773","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=35549 Win=126816 Len=0 TSval=596221079 TSecr=270163673"
"235","38.246826","192.168.11.20","216.58.194.164","TCP","66","[TCP Window Update] 63837  >  443 [ACK] Seq=2848 Ack=35549 Win=131072 Len=0 TSval=596221079 TSecr=270163673"
"236","38.246874","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"237","38.248209","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"238","38.248264","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=38385 Win=129632 Len=0 TSval=596221081 TSecr=270163673"
"239","38.249066","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"240","38.249152","192.168.11.20","216.58.194.164","TCP","66","63837  >  443 [ACK] Seq=2848 Ack=39803 Win=131072 Len=0 TSval=596221081 TSecr=270163676"
"241","38.249310","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"242","38.249662","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
"243","38.249665","216.58.194.164","192.168.11.20","TLSv1.2","1484","Application Data [TCP segment of a reassembled PDU]"
